date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,team
2022-10-09, Jurickson Profar, Juan Soto, Manny Machado, Josh Bell, Jake Cronenworth, Wil Myers, Ha-Seong Kim, Trent Grisham, Austin Nola,SD
2022-10-11, Jurickson Profar, Juan Soto, Manny Machado, Brandon Drury, Wil Myers, Jake Cronenworth, Ha-Seong Kim, Trent Grisham, Austin Nola,SD
2022-10-12, Ha-Seong Kim, Juan Soto, Manny Machado, Brandon Drury, Jake Cronenworth, Wil Myers, Jurickson Profar, Trent Grisham, Austin Nola,SD
2022-10-14, Jurickson Profar, Juan Soto, Manny Machado, Josh Bell, Jake Cronenworth, Wil Myers, Ha-Seong Kim, Trent Grisham, Austin Nola,SD
2022-10-15, Ha-Seong Kim, Juan Soto, Manny Machado, Brandon Drury, Jake Cronenworth, Wil Myers, Jurickson Profar, Trent Grisham, Austin Nola,SD
2022-10-18, Jurickson Profar, Juan Soto, Manny Machado, Josh Bell, Jake Cronenworth, Wil Myers, Ha-Seong Kim, Trent Grisham, Austin Nola,SD
2022-10-19, Jurickson Profar, Juan Soto, Manny Machado, Jake Cronenworth, Brandon Drury, Josh Bell, Ha-Seong Kim, Trent Grisham, Austin Nola,SD
2022-10-21, Ha-Seong Kim, Juan Soto, Manny Machado, Brandon Drury, Jake Cronenworth, Wil Myers, Jurickson Profar, Trent Grisham, Austin Nola,SD
2022-10-22, Jurickson Profar, Juan Soto, Manny Machado, Josh Bell, Jake Cronenworth, Brandon Drury, Ha-Seong Kim, Trent Grisham, Austin Nola,SD
2022-10-23, Jurickson Profar, Juan Soto, Manny Machado, Jake Cronenworth, Josh Bell, Brandon Drury, Ha-Seong Kim, Trent Grisham, Austin Nola,SD
2022-10-07, Kyle Schwarber, Rhys Hoskins, J.T. Realmuto, Bryce Harper, Nick Castellanos, Alec Bohm, Jean Segura, Bryson Stott, Matt Vierling,PHI
2022-10-08, Kyle Schwarber, Rhys Hoskins, J.T. Realmuto, Bryce Harper, Nick Castellanos, Alec Bohm, Brandon Marsh, Jean Segura, Bryson Stott,PHI
2022-10-11, Kyle Schwarber, Rhys Hoskins, J.T. Realmuto, Bryce Harper, Nick Castellanos, Alec Bohm, Jean Segura, Matt Vierling, Edmundo Sosa,PHI
2022-10-12, Kyle Schwarber, Rhys Hoskins, J.T. Realmuto, Bryce Harper, Nick Castellanos, Alec Bohm, Brandon Marsh, Jean Segura, Bryson Stott,PHI
2022-10-14, Kyle Schwarber, Rhys Hoskins, J.T. Realmuto, Bryce Harper, Nick Castellanos, Alec Bohm, Brandon Marsh, Jean Segura, Bryson Stott,PHI
2022-10-15, Kyle Schwarber, Rhys Hoskins, J.T. Realmuto, Bryce Harper, Nick Castellanos, Alec Bohm, Bryson Stott, Jean Segura, Brandon Marsh,PHI
2022-10-18, Kyle Schwarber, Rhys Hoskins, J.T. Realmuto, Bryce Harper, Nick Castellanos, Alec Bohm, Bryson Stott, Jean Segura, Brandon Marsh,PHI
2022-10-19, Kyle Schwarber, Rhys Hoskins, J.T. Realmuto, Bryce Harper, Nick Castellanos, Alec Bohm, Jean Segura, Matt Vierling, Edmundo Sosa,PHI
2022-10-21, Kyle Schwarber, Rhys Hoskins, J.T. Realmuto, Bryce Harper, Nick Castellanos, Alec Bohm, Bryson Stott, Jean Segura, Brandon Marsh,PHI
2022-10-22, Kyle Schwarber, Rhys Hoskins, J.T. Realmuto, Bryce Harper, Nick Castellanos, Alec Bohm, Bryson Stott, Jean Segura, Brandon Marsh,PHI
2022-10-23, Kyle Schwarber, Rhys Hoskins, J.T. Realmuto, Bryce Harper, Nick Castellanos, Alec Bohm, Bryson Stott, Jean Segura, Brandon Marsh,PHI
2022-10-28, Kyle Schwarber, Rhys Hoskins, J.T. Realmuto, Bryce Harper, Nick Castellanos, Alec Bohm, Bryson Stott, Jean Segura, Brandon Marsh,PHI
2022-10-29, Kyle Schwarber, Rhys Hoskins, J.T. Realmuto, Bryce Harper, Nick Castellanos, Alec Bohm, Jean Segura, Matt Vierling, Edmundo Sosa,PHI
2022-11-01, Kyle Schwarber, Rhys Hoskins, J.T. Realmuto, Bryce Harper, Nick Castellanos, Alec Bohm, Bryson Stott, Jean Segura, Brandon Marsh,PHI
2022-11-02, Kyle Schwarber, Rhys Hoskins, J.T. Realmuto, Bryce Harper, Nick Castellanos, Alec Bohm, Bryson Stott, Jean Segura, Brandon Marsh,PHI
2022-11-03, Kyle Schwarber, Rhys Hoskins, J.T. Realmuto, Bryce Harper, Nick Castellanos, Alec Bohm, Bryson Stott, Jean Segura, Brandon Marsh,PHI
2022-11-05, Kyle Schwarber, Rhys Hoskins, J.T. Realmuto, Bryce Harper, Nick Castellanos, Alec Bohm, Jean Segura, Matt Vierling, Edmundo Sosa,PHI
2022-10-07, Yandy Diaz, Wander Franco, Randy Arozarena, Harold Ramirez, Ji Man Choi, Manuel Margot, Christian Bethancourt, Taylor Walls, Jose Siri,TB
2022-10-08, Yandy Diaz, Wander Franco, Randy Arozarena, Harold Ramirez, Ji Man Choi, Isaac Paredes, Manuel Margot, Christian Bethancourt, Jose Siri,TB
2022-10-11, Aaron Judge, Anthony Rizzo, Gleyber Torres, Giancarlo Stanton, Oswaldo Cabrera, Josh Donaldson, Isiah Kiner-Falefa, Jose Trevino, Harrison Bader,NYY
2022-10-14, Aaron Judge, Anthony Rizzo, Gleyber Torres, Giancarlo Stanton, Josh Donaldson, Oswaldo Cabrera, Isiah Kiner-Falefa, Jose Trevino, Harrison Bader,NYY
2022-10-15, Gleyber Torres, Aaron Judge, Anthony Rizzo, Giancarlo Stanton, Josh Donaldson, Isiah Kiner-Falefa, Harrison Bader, Kyle Higashioka, Oswaldo Cabrera,NYY
2022-10-16, Gleyber Torres, Aaron Judge, Anthony Rizzo, Giancarlo Stanton, Josh Donaldson, Oswaldo Cabrera, Harrison Bader, Jose Trevino, Aaron Hicks,NYY
2022-10-18, Gleyber Torres, Aaron Judge, Anthony Rizzo, Giancarlo Stanton, Josh Donaldson, Oswaldo Cabrera, Harrison Bader, Jose Trevino, Aaron Hicks,NYY
2022-10-19, Gleyber Torres, Aaron Judge, Anthony Rizzo, Giancarlo Stanton, Josh Donaldson, Matt Carpenter, Harrison Bader, Isiah Kiner-Falefa, Jose Trevino,NYY
2022-10-20, Harrison Bader, Aaron Judge, Giancarlo Stanton, Anthony Rizzo, Gleyber Torres, Josh Donaldson, Kyle Higashioka, Oswald Peraza, Oswaldo Cabrera,NYY
2022-10-22, Anthony Rizzo, Aaron Judge, Giancarlo Stanton, Gleyber Torres, Matt Carpenter, Harrison Bader, Josh Donaldson, Oswaldo Cabrera, Jose Trevino,NYY
2022-10-23, Harrison Bader, Aaron Judge, Anthony Rizzo, Giancarlo Stanton, Gleyber Torres, Josh Donaldson, Oswaldo Cabrera, Isiah Kiner-Falefa, Jose Trevino,NYY
